FPN,AVE_DailyResidents,AVE_DailyNursingStaff,lat,long,provider_name,provider_address,provider_city,provider_state,provider_zip_code,provider_phone_number,provider_ssa_county_code,provider_county_name,ownership_type,number_of_certified_beds,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,rn_staffing_rating,rn_staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_t_5932,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_number_of_complaint_health_deficiencies,rating_cycle_2_health_deficiency_score,rating_cycle_2_number_of_health_revisits,rating_cycle_2_health_revisit_score,rating_cycle_2_total_health_score,rating_cycle_3_standard_health_survey_date,rating_cycle_3_total_number_of_health_deficiencies,rating_cycle_3_number_of_standard_health_deficiencies,rating_cycle_3_number_of_complaint_health_deficiencies,rating_cycle_3_health_deficiency_score,rating_cycle_3_number_of_health_revisits,rating_cycle_3_health_revisit_score,rating_cycle_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,processing_date
495109,136,59,37.6280934,-77.5707413,THE LAURELS OF UNIVERSITY PARK,2420 PEMBERTON RD,RICHMOND,VA,23233,8047479200,430,Henrico,For profit - Corporation,145,Medicare and Medicaid,N,"THE LAURELS OF UNIVERSITY PARK, LLC",02/15/78,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,2,NA,1,NA,2,NA,1,NA,1,NA,NA,NA,1.76677,1.03351,0.24703,1.28054,3.04731,2.63187,0.11119,0.10477,73.1,NA,78.6,NA,0,NA,1.96049,0.71452,0.32593,3.00094,1.84102,1.06224,0.28525,3.20236,05/12/21,18,18,1,88,1,0,88,08/07/19,30,27,8,309,2,155,464,06/15/18,29,28,1,176,2,88,264,242.667,0,5,2,1,318591,0,1,"2420 PEMBERTON RD,RICHMOND,VA,23233",05/01/22
495112,88,58,37.402664,-79.1418005,GUGGENHEIMER HEALTH AND REHAB CENTER,1902 GRACE STREET,LYNCHBURG,VA,24504,4349475103,551,Lynchburg City,Non profit - Corporation,130,Medicare and Medicaid,N,DIAMOND HILL SNF OPERATIONS LLC,03/24/78,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,4,NA,NA,NA,2.84829,1.48534,0.66856,2.1539,5.00219,4.12324,0.36116,0,NA,6,NA,6,NA,6,1.87033,0.69411,0.33115,2.89559,3.11107,1.57153,0.75985,5.44797,10/13/21,3,3,0,16,1,0,16,01/16/19,4,4,0,16,1,0,16,10/13/17,5,5,0,28,1,0,28,18,0,0,0,0,0,0,0,"1902 GRACE STREET,LYNCHBURG,VA,24504",05/01/22
495113,49,64,37.2159112,-77.450127,HIRAM W DAVIS MEDICAL CTR,26317 WEST WASHINGTON STREET,PETERSBURG,VA,23803,8045247420,701,Petersburg City,Government - State,90,Medicare and Medicaid,Y,COMMONWEALTH OF VA HIRAM W DAVIS MEDICAL CENTER,04/16/78,N,NA,N,Y,N,None,Yes,5,NA,4,NA,2,NA,2,NA,NA,2,5,NA,5,NA,NA,NA,4.75716,3.60886,2.2126,5.82146,10.57862,8.31118,1.00908,0.09609,36.9,NA,24,NA,1,NA,2.34985,0.87557,0.47418,3.69961,4.13573,3.02693,1.75615,9.01747,03/28/19,13,13,0,60,1,0,60,11/02/17,2,2,0,8,1,0,8,10/06/16,10,8,2,44,1,0,44,40,0,2,0,0,0,0,0,"26317 WEST WASHINGTON STREET,PETERSBURG,VA,23803",05/01/22
495114,176,68,38.8583491,-77.057121,"REGENCY CARE OF ARLINGTON, LLC",1785 SOUTH HAYES STREET,ARLINGTON,VA,22202,7039205700,60,Arlington,For profit - Corporation,240,Medicare and Medicaid,N,REGENCY CARE OF ARLINGTON LLC,10/23/78,N,NA,N,Y,N,Resident,Yes,2,NA,2,NA,3,NA,2,NA,3,NA,3,NA,3,NA,NA,NA,2.11612,1.1459,0.59282,1.73872,3.85484,3.51374,0.5459,0.06576,33.9,NA,30.8,NA,NA,6,2.12901,0.78671,0.42706,3.34278,2.03052,1.06969,0.52244,3.63673,02/27/20,13,11,5,72,1,0,72,11/01/18,19,18,0,132,2,66,198,09/20/17,10,8,2,40,1,0,40,108.667,0,6,1,0,0,0,0,"1785 SOUTH HAYES STREET,ARLINGTON,VA,22202",05/01/22
495115,152,68,37.2645177,-77.398874,COLONIAL HEIGHTS REHABILITATION AND NURSING CENTER,831 ELLERSLIE AVE,COLONIAL HEIGHTS,VA,23834,8045266851,212,Colonial Heights City,For profit - Limited Liability company,196,Medicare and Medicaid,N,COLONIAL HEIGHTS OPERATOR LLC,03/01/79,N,NA,N,Y,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,4,NA,1,NA,1,NA,NA,NA,1.86278,0.87227,0.27104,1.14331,3.00609,2.24921,0.09044,0.1151,64.6,NA,76.5,NA,1,NA,2.12474,0.83899,0.43466,3.39838,1.79102,0.76352,0.23469,2.7896,02/25/19,39,22,15,220,2,110,330,11/09/17,16,8,7,80,1,0,80,11/14/16,25,22,3,172,2,86,258,234.667,0,19,9,1,655.14,0,1,"831 ELLERSLIE AVE,COLONIAL HEIGHTS,VA,23834",05/01/22
495117,160,100,36.8669264,-76.2062659,LAKE TAYLOR HOSP,1309 KEMPSVILLE RD,NORFOLK,VA,23502,7574615001,641,Norfolk City,Government - Hospital district,192,Medicare and Medicaid,Y,HOSPITAL AUTHORITY OF NORFOLK,02/01/79,N,NA,N,N,N,Both,Yes,4,NA,3,NA,4,NA,3,NA,4,NA,4,NA,3,NA,NA,NA,1.84211,2.30853,0.51273,2.82126,4.66337,3.6669,0.26895,0.09567,53.2,NA,38.1,NA,0,NA,2.03091,0.71699,0.33246,3.08036,1.85298,2.36454,0.58043,4.77431,10/15/21,9,9,0,72,1,0,72,11/01/18,11,10,0,64,1,0,64,04/06/17,7,7,0,28,1,0,28,62,0,0,1,2,9730.5,0,2,"1309 KEMPSVILLE RD,NORFOLK,VA,23502",05/01/22
495118,109,41,36.9940323,-79.9028606,ROCKY MOUNT HEALTH & REHAB CENTER,300 HATCHER STREET,ROCKY MOUNT,VA,24151,5404839261,330,Franklin,For profit - Corporation,180,Medicare and Medicaid,N,"ROCKY MOUNT HEALTH & REHAB CENTER, LLC",02/01/80,N,NA,N,Y,N,Resident,Yes,2,NA,3,NA,3,NA,3,NA,4,NA,1,12,1,12,NA,NA,1.37838,0.8265,0.28617,1.11268,2.49106,2.04795,0.10931,0.10566,68.9,NA,70,NA,2,NA,1.83101,0.70072,0.3666,2.89832,1.53788,0.86621,0.2938,2.71049,03/03/20,1,1,0,4,1,0,4,10/03/18,21,21,0,100,1,0,100,06/29/17,15,15,0,76,1,0,76,48,0,0,0,0,0,0,0,"300 HATCHER STREET,ROCKY MOUNT,VA,24151",05/01/22
495120,72,60,37.450515,-79.191268,WESTMINSTER-CANTERBURY OF LYNCHBURG INC,501 VES RD,LYNCHBURG,VA,24503,4343863500,551,Lynchburg City,Non profit - Church related,80,Medicare and Medicaid,N,"WESTMINSTER-CANTERBURY OF LYNCHBURG, INC.",07/14/80,Y,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,4.02152,1.21755,1.15257,2.37011,6.39163,6.20242,0.90442,0.21882,31.5,NA,42.3,NA,NA,6,2.04639,0.66936,0.26096,2.9767,4.01465,1.33583,1.66225,6.77154,05/05/21,3,3,0,16,1,0,16,06/05/19,1,1,0,4,1,0,4,06/07/18,0,0,0,0,0,0,0,9.333,0,0,0,0,0,0,0,"501 VES RD,LYNCHBURG,VA,24503",05/01/22
495121,164,64,38.8957466,-77.1059967,CHERRYDALE HEALTH AND REHABILITATION CENTER,3710 LEE HIGHWAY,ARLINGTON,VA,22207,7032437640,60,Arlington,For profit - Corporation,180,Medicare and Medicaid,N,MFA XI - CHERRYDALE,04/29/80,N,NA,N,Y,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,5,NA,2,NA,2,NA,NA,NA,1.72884,1.00746,0.44502,1.45247,3.18131,2.57857,0.21965,0.1271,36.7,NA,43.8,NA,0,NA,2.0764,0.7549,0.34664,3.17794,1.70094,0.98007,0.48318,3.15698,01/30/20,11,11,1,72,1,0,72,09/27/18,11,11,0,56,1,0,56,08/02/17,6,5,1,28,1,0,28,59.333,0,4,0,0,0,0,0,"3710 LEE HIGHWAY,ARLINGTON,VA,22207",05/01/22
495123,89,37,37.2643466,-77.3249492,WONDER CITY REHABILITATION AND NURSING CENTER,905 COUSINS AVENUE,HOPEWELL,VA,23860,8044586325,451,Hopewell City,For profit - Corporation,130,Medicare and Medicaid,N,HOPEWELL OPERATOR LLC,01/01/81,N,NA,Y,N,N,None,Yes,1,NA,2,NA,4,NA,4,NA,4,NA,1,NA,1,NA,NA,NA,1.88098,1.10161,0.3288,1.43041,3.31138,2.56226,0.10223,0.16186,63.7,NA,66.7,NA,0,NA,2.14278,0.82558,0.4283,3.39665,1.7933,0.97993,0.28893,3.07447,05/06/21,13,11,2,88,1,0,88,08/09/18,18,8,6,162,1,0,162,06/01/17,5,5,0,20,1,0,20,101.333,0,19,5,4,65796.25,1,5,"905 COUSINS AVENUE,HOPEWELL,VA,23860",05/01/22
495126,128,55,36.6577872,-80.9291117,WADDELL NURSING AND REHAB CENTER,202 PAINTER ST,GALAX,VA,24333,2762365164,343,Galax City,For profit - Corporation,135,Medicare and Medicaid,N,AUTUMN CORPORATION,02/26/82,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,3,NA,4,NA,2,NA,3,NA,3,NA,NA,NA,1.72214,0.81259,0.65159,1.46418,3.18631,2.73676,0.46243,0.03526,73.3,NA,50,NA,1,NA,2.04664,0.74665,0.34933,3.14263,1.71898,0.79924,0.702,3.19748,06/24/21,3,3,0,16,1,0,16,08/09/19,17,17,0,68,1,0,68,05/03/18,11,11,0,48,1,0,48,38.667,0,0,0,1,3250,0,1,"202 PAINTER ST,GALAX,VA,24333",05/01/22
495127,90,65,36.9109468,-76.0799365,WESTMINSTER-CANTERBURY ON CHESAPEAKE BAY,3100 SHORE DRIVE,VIRGINIA BEACH,VA,23451,7574961158,921,Virginia Beach City,Non profit - Corporation,108,Medicare and Medicaid,N,WESTMINSTER-CANTERBURY ON CHESAPEAKE BAY,04/15/82,Y,NA,N,Y,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,2.82252,1.70747,1.1862,2.89367,5.71619,5.28898,0.71672,0.11029,44.4,NA,54.2,NA,0,NA,2.02636,0.64735,0.2739,2.9476,2.84555,1.93704,1.62993,6.11574,01/16/20,12,12,2,48,1,0,48,11/30/18,4,4,0,16,1,0,16,05/04/17,2,2,0,8,1,0,8,30.667,0,3,0,0,0,0,0,"3100 SHORE DRIVE,VIRGINIA BEACH,VA,23451",05/01/22
495131,107,53,36.5961909,-82.218724,"NHC HEALTHCARE, BRISTOL",245 NORTH STREET,BRISTOL,VA,24201,2766694711,111,Bristol City,For profit - Limited Liability company,120,Medicare and Medicaid,N,NHC HEALTHCARE-BRISTOL LLC,09/29/82,N,NA,N,N,N,Resident,Yes,3,NA,4,NA,3,NA,2,NA,4,NA,1,12,1,12,NA,NA,2.28084,1.36464,0.28653,1.65117,3.93202,3.274,0.07032,0.12692,62.7,NA,46.7,NA,0,NA,2.12727,0.70849,0.36914,3.20491,2.19037,1.41451,0.29214,3.86912,07/15/21,5,5,0,28,1,0,28,08/24/18,8,8,0,44,1,0,44,05/18/17,3,3,0,12,1,0,12,30.667,0,0,0,0,0,0,0,"245 NORTH STREET,BRISTOL,VA,24201",05/01/22
495133,161,64,36.8029975,-81.6756611,VALLEY REHABILITATION AND NURSING CENTER,940 EAST LEE HIGHWAY,CHILHOWIE,VA,24319,2766468911,860,Smyth,For profit - Corporation,180,Medicare and Medicaid,N,VALLEY OPERATOR LLC,11/11/82,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,5,NA,4,NA,5,NA,3,NA,3,NA,NA,NA,1.9782,0.87042,0.67462,1.54503,3.52323,2.92676,0.46029,0.0397,53.4,NA,40.9,NA,0,NA,2.26929,0.79266,0.35946,3.42142,1.78084,0.80642,0.70634,3.24748,06/10/21,10,5,8,52,1,0,52,04/16/19,17,15,0,80,1,0,80,01/26/18,13,13,0,60,1,0,60,62.667,0,6,2,1,650,0,1,"940 EAST LEE HIGHWAY,CHILHOWIE,VA,24319",05/01/22
495134,108,48,36.7189846,-82.795995,RIDGECREST MANOR NURSING & REHABILITATION,157  ROSS CARTER BOULEVARD,DUFFIELD,VA,24244,2764312841,840,Scott,For profit - Individual,120,Medicare and Medicaid,N,"RIDGECREST MANOR NURSING AND REHABILITATION, LLC",11/24/82,N,NA,N,Y,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,4,NA,2,NA,2,NA,NA,NA,1.63454,1.10588,0.53639,1.64227,3.27682,3.02207,0.35512,0.09568,47.2,NA,38.5,NA,0,NA,2.12965,0.82234,0.56652,3.5185,1.56796,0.9876,0.35635,2.93702,07/18/19,20,20,0,213,3,149,362,05/17/18,9,9,0,44,1,0,44,03/16/17,11,11,0,60,1,0,60,205.667,0,0,0,1,24007.75,1,2,"157  ROSS CARTER BOULEVARD,DUFFIELD,VA,24244",05/01/22
495135,170,68,36.8760845,-82.7524975,HERITAGE HALL BIG STONE GAP,2045 VALLEY VIEW DRIVE,BIG STONE GAP,VA,24219,2765233000,970,Wise,For profit - Corporation,180,Medicare and Medicaid,N,BIG STONE GAP LIFE CARE LLC,02/10/83,N,NA,N,N,N,Resident,Yes,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,2,NA,NA,NA,1.89052,0.89533,0.44441,1.33975,3.23027,2.51371,0.21494,0.01617,53.2,NA,21.4,NA,2,NA,2.10273,0.77903,0.39525,3.27702,1.83672,0.84402,0.42317,3.10865,05/12/21,13,13,1,96,1,0,96,06/27/19,19,18,6,96,1,0,96,03/08/18,15,14,1,76,1,0,76,92.667,0,7,1,3,54177.5,0,3,"2045 VALLEY VIEW DRIVE,BIG STONE GAP,VA,24219",05/01/22
495139,107,42,38.6478424,-78.6637146,LIFE CARE CENTER OF NEW MARKET,315 EAST LEE HIGHWAY,NEW MARKET,VA,22844,5407408041,850,Shenandoah,For profit - Partnership,118,Medicare and Medicaid,N,"LIFE CARE ASSOCIATES, LLC",08/05/83,N,NA,N,N,N,Both,Yes,4,NA,3,NA,5,NA,5,NA,4,NA,3,NA,3,NA,NA,NA,1.91537,1.0295,0.51068,1.54018,3.45555,2.865,0.32826,0.08475,36.3,NA,18.2,NA,7,NA,2.07536,0.68082,0.29508,3.05126,1.88541,1.1105,0.65135,3.5715,01/06/22,7,7,0,24,1,0,24,10/24/19,18,18,0,80,1,0,80,09/07/18,12,12,0,96,1,0,96,54.667,0,0,0,0,0,0,0,"315 EAST LEE HIGHWAY,NEW MARKET,VA,22844",05/01/22
495140,113,34,39.1471788,-77.9797091,ROSE HILL HEALTH AND REHAB,110 CHALMERS COURT,BERRYVILLE,VA,22611,5409559995,210,Clarke,For profit - Corporation,120,Medicare and Medicaid,N,GL VIRGINIA ROSE HILL LLC,08/01/84,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,3,NA,2,NA,2,NA,NA,NA,1.59337,0.68416,0.3681,1.05226,2.64563,2.06329,0.15921,0.01924,78.2,NA,73.3,NA,2,NA,2.03351,0.75767,0.40227,3.19345,1.60071,0.66314,0.34439,2.61264,12/02/21,23,22,4,116,1,0,116,03/10/20,23,22,0,144,1,0,144,01/17/19,36,24,12,180,1,0,180,136,0,15,1,2,10400,0,2,"110 CHALMERS COURT,BERRYVILLE,VA,22611",05/01/22
495141,94,36,37.816061,-79.8045904,ALLEGHANY HEALTH AND REHAB,1725 MAIN STREET,CLIFTON FORGE,VA,24422,5408625791,20,Alleghany,For profit - Corporation,105,Medicare and Medicaid,N,GL VIRGINIA ALLEGHANY LLC,07/01/84,N,NA,N,N,N,Both,Yes,5,NA,4,NA,5,NA,3,NA,5,NA,2,NA,2,NA,NA,NA,1.53406,0.92749,0.51771,1.44521,2.97926,2.52185,0.21175,0.023,46,NA,57.1,NA,1,NA,1.85222,0.75998,0.38397,2.99617,1.69198,0.89625,0.50745,3.13584,09/02/21,8,8,0,32,1,0,32,03/21/19,7,7,0,32,1,0,32,03/01/18,15,15,0,56,1,0,56,36,0,0,0,0,0,0,0,"1725 MAIN STREET,CLIFTON FORGE,VA,24422",05/01/22
495142,133,44,39.1721585,-78.1634797,EVERGREEN HEALTH AND REHAB,380 MILLWOOD AVENUE,WINCHESTER,VA,22601,5406677010,962,Winchester City,For profit - Corporation,176,Medicare and Medicaid,N,EVERGREEN SNF OPERATIONS LLC,07/01/84,N,NA,N,Y,Y,Resident,Yes,1,NA,1,NA,3,NA,1,NA,4,NA,2,NA,3,NA,NA,NA,1.21927,0.42832,0.5612,0.98952,2.20879,1.82059,0.3914,0,NA,6,NA,6,NA,6,1.98968,0.72261,0.34508,3.05737,1.25188,0.4353,0.61208,2.27834,04/25/19,20,16,4,108,2,54,162,03/30/18,27,26,0,256,1,0,256,01/26/17,13,13,0,64,1,0,64,177,0,3,1,2,80239.25,0,2,"380 MILLWOOD AVENUE,WINCHESTER,VA,22601",05/01/22
495143,113,44,36.670158,-79.8400299,MARTINSVILLE HEALTH AND REHAB,1607 SPRUCE STREET,MARTINSVILLE,VA,24112,2766327146,561,Martinsville City,For profit - Corporation,140,Medicare and Medicaid,N,GL VIRGINIA MARTINSVILLE LLC,09/01/84,N,NA,Y,Y,N,Resident,Yes,1,NA,1,NA,2,NA,2,NA,2,NA,1,NA,1,NA,NA,NA,1.85044,1.16126,0.31063,1.47189,3.32233,2.80202,0.12015,0.01979,66,NA,100,NA,2,NA,1.91494,0.75675,0.37509,3.04678,1.97408,1.12694,0.31168,3.43885,10/18/19,35,35,10,212,3,148,360,06/04/18,33,27,5,208,2,104,312,04/06/17,9,9,0,40,1,0,40,290.667,0,9,3,2,155203.75,0,2,"1607 SPRUCE STREET,MARTINSVILLE,VA,24112",05/01/22
495144,113,45,37.2074924,-77.3818773,PETERSBURG HEALTHCARE CENTER,287  EAST SOUTH BOULEVARD,PETERSBURG,VA,23805,8047331190,701,Petersburg City,For profit - Corporation,120,Medicare and Medicaid,N,SOUTH LEASING VA CO LLC,09/01/84,N,NA,N,Y,N,Resident,Yes,1,NA,2,NA,2,NA,3,NA,1,NA,1,12,1,12,NA,NA,1.95651,1.04396,0.31378,1.35775,3.31426,2.82869,0.05262,0.03316,68.7,NA,82.4,NA,11,NA,2.14155,0.8016,0.42587,3.36901,1.86638,0.95643,0.27731,3.10238,11/29/18,13,13,0,60,1,0,60,09/21/17,21,17,4,148,1,0,148,09/01/16,17,13,4,88,4,75,163,106.5,0,10,0,2,2935.02,0,2,"287  EAST SOUTH BOULEVARD,PETERSBURG,VA,23805",05/01/22
495146,103,34,38.4358653,-78.8855446,CHOICE HEALTHCARE AT HARRISONBURG,94 SOUTH AVENUE,HARRISONBURG,VA,22801,5404332791,421,Harrisonburg City,For profit - Corporation,117,Medicare and Medicaid,N,Legal Business Name Not Available,11/01/84,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,1,NA,1,NA,2,NA,1,NA,1,NA,NA,NA,1.4151,1.0661,0.32686,1.39296,2.80807,2.39989,0.19531,0.04206,NA,6,NA,6,NA,6,1.97668,0.76963,0.44453,3.19084,1.46251,1.01727,0.27674,2.77532,12/09/21,14,14,4,100,1,0,100,03/07/19,18,14,3,168,1,0,168,03/29/18,17,9,8,132,2,66,198,139,0,11,4,1,650,0,1,"94 SOUTH AVENUE,HARRISONBURG,VA,22801",05/01/22
495147,106,37,38.0682442,-78.9267911,CHOICE HEALTHCARE AT WAYNESBORO,1221 ROSSER AVE,WAYNESBORO,VA,22980,5409497191,951,Waynesboro City,For profit - Limited Liability company,109,Medicare and Medicaid,N,ACCORDIUS HEALTH AT WAYNESBORO LLC,08/01/84,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,2,NA,3,NA,1,NA,2,NA,3,NA,NA,NA,1.16379,0.56868,0.53153,1.10021,2.264,2.13562,0.48837,0.02717,NA,6,NA,6,NA,6,1.87377,0.7028,0.33561,2.91219,1.26883,0.59423,0.59607,2.45171,04/08/21,8,8,1,32,1,0,32,05/23/19,11,8,3,60,1,0,60,03/15/18,8,8,0,40,2,20,60,46,0,3,3,2,1625,0,2,"1221 ROSSER AVE,WAYNESBORO,VA,22980",05/01/22
495149,105,41,36.8375748,-76.3094068,PORTSMOUTH HEALTH AND REHAB,900 LONDON BOULEVARD,PORTSMOUTH,VA,23704,7573936864,711,Portsmouth City,For profit - Corporation,120,Medicare and Medicaid,N,GL VIRGINIA PORTSMOUTH LLC,10/01/84,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,2,NA,4,NA,2,NA,2,NA,NA,NA,1.9382,0.94356,0.32496,1.26852,3.20672,2.60655,0.149,0.00362,78.3,NA,83.3,NA,3,NA,1.99323,0.71435,0.34375,3.05132,1.9865,0.97002,0.35579,3.31425,05/28/21,12,12,12,88,1,0,88,02/07/19,16,14,1,92,2,46,138,07/13/17,24,19,5,140,1,0,140,113.333,0,6,1,3,141986,0,3,"900 LONDON BOULEVARD,PORTSMOUTH,VA,23704",05/01/22
495150,124,49,36.8418015,-76.1081088,BIRCHWOOD PARK REHABILITATION,340 LYNN SHORES DRIVE,VIRGINIA BEACH,VA,23452,7573406611,921,Virginia Beach City,For profit - Limited Liability company,150,Medicare and Medicaid,N,THE CITADEL VIRGINIA BEACH LLC,12/01/84,N,SFF Candidate,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,NA,2,1,NA,1,NA,NA,NA,2.06709,1.16561,0.23273,1.39834,3.46543,3.09715,0.17428,0.0421,NA,6,NA,6,NA,6,2.15463,0.80649,0.5311,3.49223,1.95989,1.0614,0.16492,3.12943,09/30/21,28,28,0,500,1,0,500,03/05/20,25,24,7,140,1,0,140,04/05/19,21,15,6,179,3,125,304,347.333,0,8,1,2,187345,0,2,"340 LYNN SHORES DRIVE,VIRGINIA BEACH,VA,23452",05/01/22
495151,105,42,37.4129712,-79.1824081,CHOICE HEALTHCARE AT LYNCHBURG,2081 LANGHORNE ROAD,LYNCHBURG,VA,24501,4348468437,551,Lynchburg City,For profit - Limited Liability company,120,Medicare and Medicaid,N,Legal Business Name Not Available,12/01/84,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,3,NA,2,NA,2,NA,2,NA,NA,NA,2.60587,1.11464,0.41205,1.52669,4.13256,3.43496,0.30311,0.05244,NA,6,NA,6,NA,6,2.0048,0.82587,0.47045,3.30112,2.65538,0.99117,0.32965,3.94794,12/01/21,13,13,0,68,1,0,68,02/26/19,17,15,0,88,1,0,88,02/23/18,18,17,1,104,2,52,156,89.333,0,3,2,0,0,0,0,"2081 LANGHORNE ROAD,LYNCHBURG,VA,24501",05/01/22
495152,140,66,37.1234116,-81.4911403,HERITAGE HALL TAZEWELL,282 BEN BOLT AVENUE,TAZEWELL,VA,24651,2769882515,920,Tazewell,For profit - Limited Liability company,180,Medicare and Medicaid,N,"TAZEWELL LIFE CARE, LLC",12/01/84,N,NA,N,Y,N,Both,Yes,4,NA,5,NA,1,NA,2,NA,1,NA,2,NA,2,NA,NA,NA,2.30243,0.87872,0.33311,1.21183,3.51426,2.83031,0.19217,0.01524,49.1,NA,69.2,NA,0,NA,2.15826,0.78681,0.39048,3.33555,2.17935,0.82017,0.32107,3.3226,09/12/19,6,2,0,24,1,0,24,05/24/18,4,4,0,16,1,0,16,03/30/17,0,0,0,0,0,0,0,17.333,0,0,4,0,0,0,0,"282 BEN BOLT AVENUE,TAZEWELL,VA,24651",05/01/22
495153,132,57,38.0569121,-78.4996313,CEDARS HEALTHCARE CENTER,1242 CEDARS CT,CHARLOTTESVILLE,VA,22903,4342965611,191,Charlottesville City,For profit - Corporation,141,Medicare and Medicaid,N,"CEDARS LEASING CO., LLC",02/01/85,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,4,NA,4,NA,2,NA,2,NA,NA,NA,1.60506,1.00026,0.44391,1.44417,3.04923,2.64942,0.23134,0.02453,50,NA,73.7,NA,9,NA,2.04785,0.83671,0.46901,3.35358,1.60117,0.87793,0.35622,2.86744,06/24/21,15,10,7,92,1,0,92,08/01/19,11,10,1,52,1,0,52,06/21/18,25,22,3,184,1,0,184,94,0,7,0,6,13650,0,6,"1242 CEDARS CT,CHARLOTTESVILLE,VA,22903",05/01/22
495155,203,85,38.8371362,-77.1753867,ANNANDALE  HEALTHCARE CENTER,6700 COLUMBIA PIKE,ANNANDALE,VA,22003,7032567000,290,Fairfax,For profit - Corporation,222,Medicare and Medicaid,N,"COLUMBIA LEASING CO., LLC",04/01/85,N,NA,N,N,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,5,NA,3,NA,3,NA,NA,NA,1.85016,0.84,0.56727,1.40727,3.25743,2.96525,0.36753,0.03717,34.1,NA,70.8,NA,11,NA,2.13953,0.75062,0.36938,3.25953,1.76659,0.82183,0.578,3.15161,03/05/21,15,15,0,100,3,70,170,08/23/18,14,11,0,80,1,0,80,03/02/17,11,5,6,60,1,0,60,121.667,0,11,3,3,22730.5,0,3,"6700 COLUMBIA PIKE,ANNANDALE,VA,22003",05/01/22
