federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,role_played_by_owner_or_manager_in_facility,owner_type,owner_name,ownership_percentage,association_date,location,processing_date
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,HCP S-H SUNRISE OPCO HOLDCO LLC,100%,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HCP S-H OPCO TRS LLC,NO PERCENTAGE PROVIDED,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCP SENIOR HOUSING PROPERTIES, LLC",NO PERCENTAGE PROVIDED,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HEALTHPEAK PROPERTIES, INC.",NO PERCENTAGE PROVIDED,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OPERATIONAL/MANAGERIAL CONTROL,Organization,SUNRISE SENIOR LIVING MANAGEMENT INC.,NOT APPLICABLE,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OPERATIONAL/MANAGERIAL CONTROL,Individual,"COELHO, ANDREW",NOT APPLICABLE,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OPERATIONAL/MANAGERIAL CONTROL,Individual,"FRANTZ, EDWARD",NOT APPLICABLE,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OPERATIONAL/MANAGERIAL CONTROL,Individual,"PAINTER, DAVID",NOT APPLICABLE,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OPERATIONAL/MANAGERIAL CONTROL,Individual,"RODER, MARCUS",NOT APPLICABLE,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OPERATIONAL/MANAGERIAL CONTROL,Individual,"SEKEL, WENDY",NOT APPLICABLE,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OPERATIONAL/MANAGERIAL CONTROL,Individual,"STEIN, MICHAEL",NOT APPLICABLE,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OPERATIONAL/MANAGERIAL CONTROL,Individual,"YI, HWAN",NOT APPLICABLE,since 10/01/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OFFICER,Individual,"CHENG, PATRICK",NOT APPLICABLE,since 01/01/2022,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OFFICER,Individual,"FALCO, DENISE",NOT APPLICABLE,since 10/16/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OFFICER,Individual,"JOHNSTON, SHAWN",NOT APPLICABLE,since 10/16/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OFFICER,Individual,"OVERLY, ROBERT",NOT APPLICABLE,since 10/16/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OFFICER,Individual,"RUSSO, FRANK",NOT APPLICABLE,since 01/01/2022,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,OFFICER,Individual,"STEIN, MICHAEL",NOT APPLICABLE,since 10/16/2020,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",8/1/22
495199,GREENSVILLE HEALTH AND REHABILITATION CENTER,214 WEAVER AVE,EMPORIA,VA,23847,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,EPIC GROUP LP,100%,since 08/25/2009,"214 WEAVER AVE,EMPORIA,VA,23847",8/1/22
495199,GREENSVILLE HEALTH AND REHABILITATION CENTER,214 WEAVER AVE,EMPORIA,VA,23847,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"HERZOG, LAVERNE",48%,since 01/01/2014,"214 WEAVER AVE,EMPORIA,VA,23847",8/1/22
495199,GREENSVILLE HEALTH AND REHABILITATION CENTER,214 WEAVER AVE,EMPORIA,VA,23847,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"SWAIN, WILLIAM",48%,since 01/01/2014,"214 WEAVER AVE,EMPORIA,VA,23847",8/1/22
495199,GREENSVILLE HEALTH AND REHABILITATION CENTER,214 WEAVER AVE,EMPORIA,VA,23847,DIRECTOR,Individual,"HERZOG, LAVERNE",NOT APPLICABLE,since 01/01/2014,"214 WEAVER AVE,EMPORIA,VA,23847",8/1/22
495199,GREENSVILLE HEALTH AND REHABILITATION CENTER,214 WEAVER AVE,EMPORIA,VA,23847,DIRECTOR,Individual,"SWAIN, WILLIAM",NOT APPLICABLE,since 01/01/2014,"214 WEAVER AVE,EMPORIA,VA,23847",8/1/22
495199,GREENSVILLE HEALTH AND REHABILITATION CENTER,214 WEAVER AVE,EMPORIA,VA,23847,MANAGING EMPLOYEE,Individual,"WHITE, JANET",NOT APPLICABLE,since 06/01/2011,"214 WEAVER AVE,EMPORIA,VA,23847",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,GENESIS VA HOLDINGS LLC,100%,since 04/01/2011,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,DAVID REIS FAMILY TRUST #1,NO PERCENTAGE PROVIDED,since 11/01/2018,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,FC-GEN OPERATIONS INVESTMENT LLC,NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"GEN OPERATIONS I, LLC",NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"GEN OPERATIONS II, LLC",NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HEALTHCARE INC,NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HEALTHCARE LLC,NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS OPERATIONS LLC,NO PERCENTAGE PROVIDED,since 04/01/2011,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GHC HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 04/01/2011,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HCCF MANAGEMENT GROUP XI LLC,NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SENIOR CARE GENESIS LLC,NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SENIOR CARE HOLDINGS, LLC",NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SUN HEALTHCARE GROUP, INC.",NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SUNDANCE REHABILITATION HOLDCO INC,NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,ZAC PROPERTIES XI LLC,NO PERCENTAGE PROVIDED,since 02/02/2010,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"FISHMAN, STEVEN",NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"WHITMAN, ARNOLD",NO PERCENTAGE PROVIDED,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,OPERATIONAL/MANAGERIAL CONTROL,Individual,"BERG, MICHAEL",NOT APPLICABLE,since 03/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,OPERATIONAL/MANAGERIAL CONTROL,Individual,"DAVIS, KEITH",NOT APPLICABLE,since 03/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,OPERATIONAL/MANAGERIAL CONTROL,Individual,"SHERMAN, MICHAEL",NOT APPLICABLE,since 04/01/2011,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,OPERATIONAL/MANAGERIAL CONTROL,Individual,"WILLIAMS, SUSAN",NOT APPLICABLE,since 04/01/2011,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,DIRECTOR,Individual,"SHERMAN, MICHAEL",NOT APPLICABLE,since 04/01/2011,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,OFFICER,Individual,"BERG, MICHAEL",NOT APPLICABLE,since 03/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,OFFICER,Individual,"MASON, JOSEPH",NOT APPLICABLE,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,OFFICER,Individual,"NAUSE, KEITH",NOT APPLICABLE,since 03/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,OFFICER,Individual,"SHERMAN, MICHAEL",NOT APPLICABLE,since 04/01/2011,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,OFFICER,Individual,"YOUNG, STEPHEN",NOT APPLICABLE,since 02/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,MANAGING EMPLOYEE,Individual,"DAVIS, KEITH",NOT APPLICABLE,since 03/02/2015,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495200,WESTWOOD CENTER,20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,MANAGING EMPLOYEE,Individual,"WILLIAMS, SUSAN",NOT APPLICABLE,since 04/01/2011,"20 WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"SABER HEALTHCARE HOLDINGS, LLC",100%,since 07/01/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"BENJAMIN N. VOLPE FAMILY DYNASTY TRUST (DATED DECEMBER 29, 2020)",NO PERCENTAGE PROVIDED,since 12/31/2020,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"BNV DYNASTY, LLC",NO PERCENTAGE PROVIDED,since 12/31/2020,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"DECANTED WILLIAM I. WEISBERG FAMILY DYNASTY TRUST DATED SEPT 30, 2020",NO PERCENTAGE PROVIDED,since 09/30/2020,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SHH HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 07/01/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,WIW DYNASTY LLC,NO PERCENTAGE PROVIDED,since 09/30/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,WWBV HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 09/30/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,OPERATIONAL/MANAGERIAL CONTROL,Organization,"SABER GOVERNANCE, LLC",NOT APPLICABLE,since 09/01/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,OPERATIONAL/MANAGERIAL CONTROL,Individual,"DUMBRA, VICTORIA",NOT APPLICABLE,since 11/01/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,DIRECTOR,Individual,"VOLPE, BENJAMIN",NOT APPLICABLE,since 07/01/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,DIRECTOR,Individual,"WEISBERG, WILLIAM",NOT APPLICABLE,since 07/01/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,OFFICER,Individual,"NICOLUZAKIS, GREGORY",NOT APPLICABLE,since 07/01/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,OFFICER,Individual,"VOLPE, BENJAMIN",NOT APPLICABLE,since 07/01/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,OFFICER,Individual,"WEISBERG, WILLIAM",NOT APPLICABLE,since 07/01/2019,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,MANAGING EMPLOYEE,Individual,"SPARLING, JAMES",NOT APPLICABLE,since 01/09/2021,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495201,PORTSIDE HEALTH & REHAB CENTER,4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701,MANAGING EMPLOYEE,Individual,"SPELLER, KEN",NOT APPLICABLE,since 02/23/2021,"4201 GREENWOOD DRIVE,PORTSMOUTH,VA,23701",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,GRETNA HOLDINGS I LLC,100%,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,AMERICA WEST LLC,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,CHARLES 1994 & FAMILY LLC,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,CHARLES 1994 FAMILY GRANTOR TRUST,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,CHARLES 1994 LLC,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,EDWARD 1998 FAMILY GRANTOR TRUST,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,EDWARD 1998 LLC,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,KSS 2000 FAMILY TRUST,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,ML 2000 FAMILY TRUST,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,MRV WEST LLC,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,REDROCK WEST LLC,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SAUL 2012 FAMILY GRANTOR TRUST,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SAUL 2012 LLC,NO PERCENTAGE PROVIDED,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,OPERATIONAL/MANAGERIAL CONTROL,Organization,RCZBM WEST MANAGER LLC,NOT APPLICABLE,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,OFFICER,Individual,"RAJCHENBACH, MOSHE",NOT APPLICABLE,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495202,GRETNA HEALTH AND REHABILITATION CENTER,595 VADEN DRIVE,GRETNA,VA,24557,MANAGING EMPLOYEE,Individual,"HARRIS, MICHAEL",NOT APPLICABLE,since 05/28/2021,"595 VADEN DRIVE,GRETNA,VA,24557",8/1/22
495203,"ENVOY OF ALEXANDRIA, LLC",900 VIRGINIA AVENUE,ALEXANDRIA,VA,22302,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,ENVOY HEALTH CARE LLC,100%,since 12/31/2008,"900 VIRGINIA AVENUE,ALEXANDRIA,VA,22302",8/1/22
495203,"ENVOY OF ALEXANDRIA, LLC",900 VIRGINIA AVENUE,ALEXANDRIA,VA,22302,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"ALG LAVIE, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"900 VIRGINIA AVENUE,ALEXANDRIA,VA,22302",8/1/22
